      1   1.2480439E-01   4.8630547E-05   1.3849150E-06   1.2134767E-09	3.4557742E-11	1.0000000E-01   1.6493775E-01
      2   2.0546120E-01   1.7981311E-05   4.7677131E-07   1.2160277E-09	3.2242761E-11	1.6493775E-01   2.7204463E-01
      3   3.3824587E-01   6.9941170E-06   1.8621870E-07   1.2819186E-09	3.4131142E-11	2.7204463E-01   4.4870430E-01
      4   5.5684990E-01   2.3581426E-06   7.4165030E-08   1.1714097E-09	3.6841554E-11	4.4870430E-01   7.4008280E-01
      5   9.1674137E-01   7.8572100E-07   3.0362298E-08   1.0578510E-09	4.0878110E-11	7.4008280E-01   1.2206759E+00
      6   1.5092415E+00   2.5198796E-07   1.2560584E-08   9.1951702E-10	4.5834218E-11	1.2206759E+00   2.0133555E+00
      7   2.4847004E+00   6.8198254E-08   4.9495177E-09   6.7450290E-10	4.8952342E-11	2.0133555E+00   3.3207834E+00
      8   4.0906549E+00   2.0409317E-08   2.1235143E-09   5.4711252E-10	5.6925045E-11	3.3207834E+00   5.4772258E+00
      9   6.7346544E+00   6.6333685E-09   9.5299113E-10   4.8197801E-10	6.9243972E-11	5.4772258E+00   9.0340128E+00
     10   1.1087703E+01   1.4783117E-09   3.3548689E-10   2.9114655E-10	6.6072571E-11	9.0340128E+00   1.4900498E+01
     11   1.8254578E+01   2.3137188E-10   1.1175404E-10   1.2351412E-10	5.9658077E-11	1.4900498E+01   2.4576548E+01
     12   3.0054260E+01   8.3546489E-11   5.0168564E-11   1.2089345E-10	7.2594923E-11	2.4576548E+01   4.0536003E+01
     13   4.9481686E+01   4.6746693E-11   2.7004570E-11   1.8335906E-10	1.0592264E-10	4.0536003E+01   6.6859177E+01
     14   8.1468040E+01   3.2354328E-11   1.8681943E-11   3.4400871E-10	1.9863652E-10	6.6859177E+01   1.1027602E+02
     15   1.3413264E+02   8.9879024E-12   0.0000000E+00   2.5905375E-10	0.0000000E+00	1.1027602E+02   1.8188680E+02
     16   2.2084435E+02   5.4866138E-12   0.0000000E+00   4.2868614E-10	0.0000000E+00	1.8188680E+02   3.0000000E+02
