wavelength / nm;Used relative contribution
2.20;4.80;O VII
4.05;4.25;C V
9.39;5.75;Fe XVIII
13.29;2.90;Fe XXIII
22.80;0.45;He II Lyman-continuum
30.50;2.90;He II Lyman-alpha
58.40;4.75;He I
93.00;1.60;H I Lyman-series +  H I Lyman-beta + O VI
121.50;1.70;H I Lyman-alpha
154.90;0.70;C IV
279.80;0.20;Mg II
