wavelength / nm;Used relative contribution
2.20;5.90;O VII
4.05;3.55;C V
9.39;4.70;Fe XVIII
13.29;3.95;Fe XXIII
22.80;0.75;He II Lyman continuum
30.50;3.70;He II Lyman $\alpha$
58.40;4.80;He I
93.00;1.75;H I Lyman continuum + H I Lyman-beta + O VI
121.50;4.35;H I Lyman $\alpha$
154.90;1.85;C IV
279.80;0.55;Mg II
